DLR,VIN No.,MODEL KEY,MODEL,Loại gói,WTY START,WTY FINISH,EW BUYING,EW START ,EW FINISH,Price (HVN),NET,Note,Note 2nd ,Số ngày,Bổ tiền,v,v.1,Unnamed: 18,Unnamed: 19,UID,VIN
N003,RLHFD26386Y000074,FD,Civic,All car,9/11/2006 0:00,9/10/2009 0:00,1/8/2008 0:00,9/11/2009,9/10/2010,1150000,1045454.545,,,364,12,,,,484,912069676,RLHFD26386Y000074
N001,RLHFD15288Y801643,FD,Civic,All car,9/1/2008 0:00,8/31/2011 0:00,9/1/2008 0:00,9/1/2011,8/31/2012,1150000,1045454.545,HVN Khuyến mại,,365,12,,,,0,914014289,RLHFD15288Y801643
N001,RLHFD15228Y801640,FD,Civic,All car,9/1/2008 0:00,8/31/2011 0:00,9/1/2008 0:00,9/1/2011,8/31/2012,1150000,1045454.545,HVN Khuyến mại,,365,12,,Hệ thống Treo và lái,,0,913324562,RLHFD15228Y801640
S001,RLHFD16238Y801533,FD,Civic,All car,9/1/2008 0:00,8/31/2011 0:00,9/1/2008 0:00,9/1/2011,8/31/2012,1550000,1409090.909,HVN Khuyến mại,,365,12,,Hệ thống Treo và lái,,0,982175147,RLHFD16238Y801533
S001,RLHFD15288Y801710,FD,Civic,All car,9/1/2008 0:00,8/31/2011 0:00,9/1/2008 0:00,9/1/2011,8/31/2012,1550000,1409090.909,HVN Khuyến mại,,365,12,,,,0,903937734,RLHFD15288Y801710
S001,RLHFD26368Y800892,FD,Civic,All car,8/26/2008 0:00,8/25/2011 0:00,9/1/2008 0:00,8/26/2011,8/25/2012,1550000,1409090.909,HVN Khuyến mại,,365,12,,,,6,903741277,RLHFD26368Y800892
N001,RLHFD15248Y801526,FD,Civic,All car,10/1/2008 0:00,9/30/2011 0:00,10/1/2008 0:00,10/1/2011,9/30/2012,1150000,1045454.545,HVN Khuyến mại,,365,12,,,,0,906196666,RLHFD15248Y801526
N001,RLHFD16228Y801829,FD,Civic,All car,10/1/2008 0:00,9/30/2011 0:00,10/1/2008 0:00,10/1/2011,9/30/2012,1150000,1045454.545,HVN Khuyến mại,,365,12,,,,0,912244183,RLHFD16228Y801829
N001,RLHFD15248Y801638,FD,Civic,All car,10/1/2008 0:00,9/30/2011 0:00,10/1/2008 0:00,10/1/2011,9/30/2012,1150000,1045454.545,HVN Khuyến mại,,365,12,,,,0,98887370,RLHFD15248Y801638
S001,RLHFD15298Y801859,FD,Civic,All car,10/1/2008 0:00,9/30/2011 0:00,10/1/2008 0:00,10/1/2011,9/30/2012,1550000,1409090.909,HVN Khuyến mại,,365,12,,,,0,913840717,RLHFD15298Y801859
S001,RLHFD26308Y801066,FD,Civic,All car,9/30/2008 0:00,9/29/2011 0:00,10/1/2008 0:00,9/30/2011,9/29/2012,1550000,1409090.909,HVN Khuyến mại,,365,12,,,,1,913417553,RLHFD26308Y801066
S001,RLHFD26378Y801078,FD,Civic,All car,10/1/2008 0:00,9/30/2011 0:00,10/1/2008 0:00,10/1/2011,9/30/2012,1550000,1409090.909,HVN Khuyến mại,,365,12,,,,0,978802122,RLHFD26378Y801078
S002,RLHFD16288Y102432,FD,Civic,All car,2/21/2008 0:00,2/20/2011 0:00,10/1/2008 0:00,2/21/2011,2/20/2012,1550000,1409090.909,,,364,12,,,,223,982962135,RLHFD16288Y102432
N001,RLHFD26398Y800899,FD,Civic,All car,11/1/2008 0:00,10/31/2011 0:00,11/1/2008 0:00,11/1/2011,10/31/2012,1750000,1590909.091,HVN Khuyến mại,,365,12,,,,0,983312624,RLHFD26398Y800899
S001,RLHFD162X8Y801609,FD,Civic,All car,11/1/2008 0:00,10/31/2011 0:00,11/1/2008 0:00,11/1/2011,10/31/2012,1550000,1409090.909,HVN Khuyến mại,,365,12,,,,0,913725743,RLHFD162X8Y801609
S001,RLHFD26347Y100142,FD,Civic,All car,6/29/2007 0:00,6/28/2010 0:00,1/12/2008 0:00,6/29/2010,6/28/2011,1550000,1409090.909,,,364,12,,,,197,918880445,RLHFD26347Y100142
N003,RLHFD15287Y100325,FD,Civic,All car,6/22/2007 0:00,6/21/2010 0:00,2/8/2008 0:00,6/22/2010,6/21/2011,1550000,1409090.909,,,364,12,,,,231,984999896,RLHFD15287Y100325
N001,RLHFD26308Y800791,FD,Civic,All car,10/2/2008 0:00,10/1/2011 0:00,10/2/2008 0:00,10/2/2011,10/1/2012,1550000,1409090.909,,,365,12,,,,0,962944454,RLHFD26308Y800791
C001,RLHFD162X8Y801500,FD,Civic,All car,10/2/2008 0:00,10/1/2011 0:00,10/2/2008 0:00,10/2/2011,10/1/2012,1550000,1409090.909,HVN Khuyến mại,,365,12,,,,0,909585758,RLHFD162X8Y801500
S002,RLHFD26388Y800943,FD,Civic,All car,10/2/2008 0:00,10/1/2011 0:00,10/2/2008 0:00,10/2/2011,10/1/2012,1550000,1409090.909,HVN Khuyến mại,,365,12,,,,0,903993573,RLHFD26388Y800943
N001,RLHFD15258Y801518,FD,Civic,All car,9/3/2008 0:00,9/2/2011 0:00,9/3/2008 0:00,9/3/2011,9/2/2012,1150000,1045454.545,HVN Khuyến mại,,365,12,,,,0,903297787,RLHFD15258Y801518
N001,RLHFD15238Y801632,FD,Civic,All car,9/3/2008 0:00,9/2/2011 0:00,9/3/2008 0:00,9/3/2011,9/2/2012,1150000,1045454.545,HVN Khuyến mại,,365,12,,,,0,39856776,RLHFD15238Y801632
N004,RLHFD26367Y101017,FD,Civic,All car,11/24/2007 0:00,11/23/2010 0:00,3/9/2008 0:00,11/24/2010,11/23/2011,1550000,1409090.909,,,364,12,,,,106,47553410,RLHFD26367Y101017
S001,RLHFD26366Y000073,FD,Civic,All car,9/22/2006 0:00,9/21/2009 0:00,9/3/2008 0:00,9/22/2009,9/21/2010,1150000,1045454.545,,,364,12,,,,712,903752724,RLHFD26366Y000073
S002,RLHFD26346Y000265,FD,Civic,All car,11/30/2006 0:00,11/29/2009 0:00,3/9/2008 0:00,11/30/2009,11/29/2010,1150000,1045454.545,,,364,12,,,,465,983117335,RLHFD26346Y000265
N001,RLHFD15218Y801791,FD,Civic,All car,10/3/2008 0:00,10/2/2011 0:00,10/3/2008 0:00,10/3/2011,10/2/2012,1550000,1409090.909,HVN Khuyến mại,,365,12,,,,0,913294710,RLHFD15218Y801791
N003,RLHFD16218Y801952,FD,Civic,All car,9/30/2008 0:00,9/29/2011 0:00,10/3/2008 0:00,9/30/2011,9/29/2012,1550000,1409090.909,HVN Khuyến mại,,365,12,,,,3,912475255,RLHFD16218Y801952
N003,RLHFD26338Y800963,FD,Civic,All car,10/1/2008 0:00,9/30/2011 0:00,10/3/2008 0:00,10/1/2011,9/30/2012,1550000,1409090.909,HVN Khuyến mại,,365,12,,,,2,984939493,RLHFD26338Y800963
N003,RLHFD26328Y801070,FD,Civic,All car,10/3/2008 0:00,10/2/2011 0:00,10/3/2008 0:00,10/3/2011,10/2/2012,1550000,1409090.909,HVN Khuyến mại,,365,12,,,,0,904304461,RLHFD26328Y801070
S002,RLHFD26368Y800990,FD,Civic,All car,10/3/2008 0:00,10/2/2011 0:00,10/3/2008 0:00,10/3/2011,10/2/2012,1550000,1409090.909,HVN Khuyến mại,,365,12,,,,0,918334416,RLHFD26368Y800990
N001,RLHFD152X8Y801692,FD,Civic,All car,11/3/2008 0:00,11/2/2011 0:00,11/3/2008 0:00,11/3/2011,11/2/2012,1750000,1590909.091,HVN Khuyến mại,,365,12,,,,0,912333346,RLHFD152X8Y801692
S002,RLHFD16278Y801910,FD,Civic,All car,11/3/2008 0:00,11/2/2011 0:00,11/3/2008 0:00,11/3/2011,11/2/2012,1550000,1409090.909,,,365,12,,,,0,979131140,RLHFD16278Y801910
S001,RLHFD15216Y000436,FD,Civic,All car,12/28/2006 0:00,12/27/2009 0:00,3/12/2008 0:00,12/28/2009,12/27/2010,1750000,1590909.091,,,364,12,,,,440,909797788,RLHFD15216Y000436
N004,RLHFD16298Y102939,FD,Civic,All car,3/29/2008 0:00,3/28/2011 0:00,4/8/2008 0:00,3/29/2011,3/28/2012,1550000,1409090.909,,,365,12,,,,10,904126717,RLHFD16298Y102939
N003,RLHFD26396Y000830,FD,Civic,All car,1/31/2007 0:00,1/30/2010 0:00,4/9/2008 0:00,1/31/2010,1/30/2011,1150000,1045454.545,,,364,12,,,,434,989588589,RLHFD26396Y000830
S001,RLHFD26396Y000231,FD,Civic,All car,11/15/2006 0:00,11/14/2009 0:00,9/4/2008 0:00,11/15/2009,11/14/2010,1150000,1045454.545,,,364,12,,,,659,908897009,RLHFD26396Y000231
S001,RLHFD16226Y001013,FD,Civic,All car,2/9/2007 0:00,2/8/2010 0:00,9/4/2008 0:00,2/9/2010,2/8/2011,1150000,1045454.545,,,364,12,,,,573,936320031,RLHFD16226Y001013
S001,RLHFD26386Y000270,FD,Civic,All car,12/11/2006 0:00,12/10/2009 0:00,9/4/2008 0:00,12/11/2009,12/10/2010,1150000,1045454.545,,,364,12,,,,633,918007680,RLHFD26386Y000270
S001,RLHFD263X8Y800930,FD,Civic,All car,10/7/2008 0:00,10/6/2011 0:00,10/7/2008 0:00,10/7/2011,10/6/2012,1550000,1409090.909,HVN Khuyến mại,,365,12,,,,0,918286288,RLHFD263X8Y800930
N004,RLHFD16238Y800267,FD,Civic,All car,5/28/2008 0:00,5/27/2011 0:00,12/4/2008 0:00,5/28/2011,5/27/2012,1750000,1590909.091,,,365,12,,,,190,983099277,RLHFD16238Y800267
S001,RLHFD16217Y100147,FD,Civic,All car,6/13/2007 0:00,6/12/2010 0:00,4/12/2008 0:00,6/13/2010,6/12/2011,1550000,1409090.909,,,364,12,,AC system,,304,913710768,RLHFD16217Y100147
N003,RLHFD16257Y101348,FD,Civic,All car,11/2/2007 0:00,11/1/2010 0:00,5/8/2008 0:00,11/2/2010,11/1/2011,1550000,1409090.909,,,364,12,,AC system,,188,983551818,RLHFD16257Y101348
N003,RLHFD26317Y100082,FD,Civic,All car,5/29/2007 0:00,5/28/2010 0:00,5/8/2008 0:00,5/29/2010,5/28/2011,1550000,1409090.909,,,364,12,,AC system,,345,33876865,RLHFD26317Y100082
N001,RLHFD15268Y801835,FD,Civic,All car,9/5/2008 0:00,9/4/2011 0:00,9/5/2008 0:00,9/5/2011,9/4/2012,1150000,1045454.545,HVN Khuyến mại,,365,12,,,,0,989517679,RLHFD15268Y801835
N004,RLHFD16208Y801666,FD,Civic,All car,9/5/2008 0:00,9/4/2011 0:00,9/5/2008 0:00,9/5/2011,9/4/2012,1550000,1409090.909,HVN Khuyến mại,,365,12,,,,0,982862580,RLHFD16208Y801666
N004,RLHFD26328Y800906,FD,Civic,All car,9/5/2008 0:00,9/4/2011 0:00,9/5/2008 0:00,9/5/2011,9/4/2012,1550000,1409090.909,HVN Khuyến mại,,365,12,,,,0,912365539,RLHFD26328Y800906
S001,RLHFD152X8Y802180,FD,Civic,All car,11/5/2008 0:00,11/4/2011 0:00,11/5/2008 0:00,11/5/2011,11/4/2012,1550000,1409090.909,,,365,12,,,,0,947390099,RLHFD152X8Y802180
N001,RLHFD26386Y000348,FD,Civic,All car,12/12/2006 0:00,12/11/2009 0:00,5/12/2008 0:00,12/12/2009,12/11/2010,1750000,1590909.091,,,364,12,,,,517,912033355,RLHFD26386Y000348
S002,RLHFD26336Y000869,FD,Civic,All car,2/8/2007 0:00,2/7/2010 0:00,6/8/2008 0:00,2/8/2010,2/7/2011,1150000,1045454.545,,,364,12,,,,486,916665566,RLHFD26336Y000869
S002,RLHFD26386Y000589,FD,Civic,All car,1/12/2007 0:00,1/11/2010 0:00,6/8/2008 0:00,1/12/2010,1/11/2011,1150000,1045454.545,,,364,12,,,,513,975993030,RLHFD26386Y000589
N004,RLHFD16236Y000744,FD,Civic,All car,1/15/2007 0:00,1/14/2010 0:00,6/9/2008 0:00,1/15/2010,1/14/2011,1150000,1045454.545,,,364,12,,,,511,912570035,RLHFD16236Y000744
N004,RLHFD26366Y000686,FD,Civic,All car,1/14/2007 0:00,1/13/2010 0:00,6/9/2008 0:00,1/14/2010,1/13/2011,1150000,1045454.545,,,364,12,,,,512,912345687,RLHFD26366Y000686
N004,RLHFD15266Y000061,FD,Civic,All car,9/8/2006 0:00,9/7/2009 0:00,6/9/2008 0:00,9/8/2009,9/7/2010,1150000,1045454.545,,,364,12,,,,640,912572470,RLHFD15266Y000061
N004,RLHFD15258Y801857,FD,Civic,All car,9/6/2008 0:00,9/5/2011 0:00,9/6/2008 0:00,9/6/2011,9/5/2012,1150000,1045454.545,HVN Khuyến mại,,365,12,,,,0,933045056,RLHFD15258Y801857
N004,RLHFD15288Y801772,FD,Civic,All car,9/6/2008 0:00,9/5/2011 0:00,9/6/2008 0:00,9/6/2011,9/5/2012,1150000,1045454.545,HVN Khuyến mại,,365,12,,,,0,904160040,RLHFD15288Y801772
N004,RLHFD15288Y801688,FD,Civic,All car,9/6/2008 0:00,9/5/2011 0:00,9/6/2008 0:00,9/6/2011,9/5/2012,1150000,1045454.545,HVN Khuyến mại,,365,12,,,,0,912869655,RLHFD15288Y801688
S001,RLHFD15226Y000090,FD,Civic,All car,11/10/2006 0:00,11/9/2009 0:00,9/6/2008 0:00,11/10/2009,11/9/2010,1150000,1045454.545,,,364,12,,,,666,909990577,RLHFD15226Y000090
S002,RLHFD15226Y000929,FD,Civic,All car,5/15/2007 0:00,5/14/2010 0:00,6/9/2008 0:00,5/15/2010,5/14/2011,1150000,1045454.545,,,364,12,,,,391,903781063,RLHFD15226Y000929
S002,RLHFD26388Y800845,FD,Civic,All car,8/22/2008 0:00,8/21/2011 0:00,9/6/2008 0:00,8/22/2011,8/21/2012,1150000,1045454.545,HVN Khuyến mại,,365,12,,,,15,9374052,RLHFD26388Y800845
S002,RLHFD162X8Y801531,FD,Civic,All car,8/23/2008 0:00,8/22/2011 0:00,9/6/2008 0:00,8/23/2011,8/22/2012,1150000,1045454.545,HVN Khuyến mại,,365,12,,,,14,913657533,RLHFD162X8Y801531
N004,RLHFD26316Y000143,FD,Civic,All car,10/7/2006 0:00,10/6/2009 0:00,6/10/2008 0:00,10/7/2009,10/6/2010,1750000,1590909.091,,,364,12,,,,612,988078745,RLHFD26316Y000143
S001,RLHFD16298Y801911,FD,Civic,All car,10/4/2008 0:00,10/3/2011 0:00,10/6/2008 0:00,10/4/2011,10/3/2012,1550000,1409090.909,HVN Khuyến mại,,365,12,,,,2,972178253,RLHFD16298Y801911
S001,RLHFD16278Y802149,FD,Civic,All car,11/6/2008 0:00,11/5/2011 0:00,11/6/2008 0:00,11/6/2011,11/5/2012,1550000,1409090.909,HVN Khuyến mại,,365,12,,,,0,945678067,RLHFD16278Y802149
S002,RLHFD26396Y000259,FD,Civic,All car,11/29/2006 0:00,11/28/2009 0:00,6/11/2008 0:00,11/29/2009,11/28/2010,1750000,1590909.091,,,364,12,,,,560,989112025,RLHFD26396Y000259
S002,RLHFD26398Y800997,FD,Civic,All car,11/6/2008 0:00,11/5/2011 0:00,11/6/2008 0:00,11/6/2011,11/5/2012,1550000,1409090.909,,,365,12,,,,0,988115115,RLHFD26398Y800997
S002,RLHFD263X8Y800975,FD,Civic,All car,11/6/2008 0:00,11/5/2011 0:00,11/6/2008 0:00,11/6/2011,11/5/2012,1550000,1409090.909,,,365,12,,,,0,939496064,RLHFD263X8Y800975
S001,RLHFD15267Y100257,FD,Civic,All car,6/14/2007 0:00,6/13/2010 0:00,6/12/2008 0:00,6/14/2010,6/13/2011,1550000,1409090.909,,,364,12,,,,364,919586666,RLHFD15267Y100257
C002,RLHFD15258Y800675,FD,Civic,All car,6/19/2008 0:00,6/18/2011 0:00,6/19/2008 0:00,6/19/2011,6/18/2012,1750000,1590909.091,,,365,12,,,,0,961592896,RLHFD15258Y800675
N003,RLHFD16237Y101459,FD,Civic,All car,11/12/2007 0:00,11/11/2010 0:00,7/15/2008 0:00,11/12/2010,11/11/2011,1550000,1409090.909,,,364,12,,,,246,912121213,RLHFD16237Y101459
N004,RLHFD15296Y000197,FD,Civic,All car,12/4/2006 0:00,12/3/2009 0:00,7/15/2008 0:00,12/4/2009,12/3/2010,1150000,1045454.545,,,364,12,,,,589,903484899,RLHFD15296Y000197
N004,RLHFD26336Y000211,FD,Civic,All car,11/1/2006 0:00,10/31/2009 0:00,7/15/2008 0:00,11/1/2009,10/31/2010,1150000,1045454.545,,,364,12,,,,622,914994003,RLHFD26336Y000211
N001,RLHFD26316Y000062,FD,Civic,All car,9/11/2006 0:00,9/10/2009 0:00,7/16/2008 0:00,9/11/2009,9/10/2010,1150000,1045454.545,,,364,12,,,,674,344776052,RLHFD26316Y000062
N001,RLHFD26326Y000152,FD,Civic,All car,10/23/2006 0:00,10/22/2009 0:00,7/16/2008 0:00,10/23/2009,10/22/2010,1150000,1045454.545,,,364,12,,,,632,982448888,RLHFD26326Y000152
N004,RLHFD15216Y000095,FD,Civic,All car,9/4/2006 0:00,9/3/2009 0:00,7/17/2008 0:00,9/4/2009,9/3/2010,1150000,1045454.545,,,364,12,,,,682,982156587,RLHFD15216Y000095
N003,RLHFD16216Y000015,FD,Civic,All car,8/29/2006 0:00,8/28/2009 0:00,7/18/2008 0:00,8/29/2009,8/28/2010,1150000,1045454.545,,,364,12,,,,689,912945929,RLHFD16216Y000015
S002,RLHFD16206Y000541,FD,Civic,All car,12/27/2006 0:00,12/26/2009 0:00,7/18/2008 0:00,12/27/2009,12/26/2010,1150000,1045454.545,,,364,12,,,,569,946855648,RLHFD16206Y000541
S002,RLHFD26386Y000060,FD,Civic,All car,9/9/2006 0:00,9/8/2009 0:00,7/18/2008 0:00,9/9/2009,9/8/2010,1150000,1045454.545,,,364,12,,,,678,918870024,RLHFD26386Y000060
N003,RLHFD15296Y000068,FD,Civic,All car,9/6/2006 0:00,9/5/2009 0:00,7/19/2008 0:00,9/6/2009,9/5/2010,1150000,1045454.545,,,364,12,,,,682,913233820,RLHFD15296Y000068
N004,RLHFD26316Y000255,FD,Civic,All car,11/18/2006 0:00,11/17/2009 0:00,7/19/2008 0:00,11/18/2009,11/17/2010,1150000,1045454.545,,,364,12,,,,609,916945669,RLHFD26316Y000255
S001,RLHFD26336Y000015,FD,Civic,All car,9/19/2006 0:00,9/18/2009 0:00,7/21/2008 0:00,9/19/2009,9/18/2010,1150000,1045454.545,,,364,12,,,,671,905186538,RLHFD26336Y000015
S002,RLHFD15247Y100838,FD,Civic,All car,9/12/2007 0:00,9/11/2010 0:00,7/21/2008 0:00,9/12/2010,9/11/2011,1550000,1409090.909,,,364,12,,,,313,907049988,RLHFD15247Y100838
S002,RLHFD26316Y000496,FD,Civic,All car,1/4/2007 0:00,1/3/2010 0:00,7/21/2008 0:00,1/4/2010,1/3/2011,1150000,1045454.545,,,364,12,,,,564,906237410,RLHFD26316Y000496
S001,RLHFD26376Y000888,FD,Civic,All car,12/3/2007 0:00,12/2/2010 0:00,7/22/2008 0:00,12/3/2010,12/2/2011,1150000,1045454.545,,,364,12,,All car,,232,937887788,RLHFD26376Y000888
S002,RLHFD16226Y000105,FD,Civic,All car,10/7/2006 0:00,10/6/2009 0:00,7/24/2008 0:00,10/7/2009,10/6/2010,1150000,1045454.545,,,364,12,,,,656,983031109,RLHFD16226Y000105
S002,RLHFD16298Y800824,FD,Civic,All car,7/2/2008 0:00,7/1/2011 0:00,7/24/2008 0:00,7/2/2011,7/1/2012,1750000,1590909.091,,,365,12,,,,22,98159517,RLHFD16298Y800824
N001,RLHFD16276Y000018,FD,Civic,All car,12/28/2006 0:00,12/27/2009 0:00,7/25/2008 0:00,12/28/2009,12/27/2010,1150000,1045454.545,,,364,12,,,,575,913093132,RLHFD16276Y000018
N004,RLHFD26388Y800067,FD,Civic,All car,5/12/2008 0:00,5/11/2011 0:00,7/25/2008 0:00,5/12/2011,5/11/2012,1550000,1409090.909,,,365,12,,,,74,975291442,RLHFD26388Y800067
S002,RLHFD15256Y000231,FD,Civic,All car,12/22/2006 0:00,12/21/2009 0:00,7/26/2008 0:00,12/22/2009,12/21/2010,1150000,1045454.545,,,364,12,,,,582,1699858998,RLHFD15256Y000231
S002,RLHFD26356Y000047,FD,Civic,All car,11/14/2006 0:00,11/13/2009 0:00,7/28/2008 0:00,11/14/2009,11/13/2010,1150000,1045454.545,,,364,12,,,,622,962393939,RLHFD26356Y000047
S002,RLHFD15246Y000074,FD,Civic,All car,9/9/2006 0:00,9/8/2009 0:00,7/28/2008 0:00,9/9/2009,9/8/2010,1150000,1045454.545,,,364,12,,,,688,909618710,RLHFD15246Y000074
S001,RLHFD26346Y000105,FD,Civic,All car,9/28/2006 0:00,9/27/2009 0:00,7/29/2008 0:00,9/28/2009,9/27/2010,1150000,1045454.545,,,364,12,,,,670,913950541,RLHFD26346Y000105
N003,RLHFD26396Y000701,FD,Civic,All car,1/16/2007 0:00,1/15/2010 0:00,7/30/2008 0:00,1/16/2010,1/15/2011,1150000,1045454.545,,,364,12,,,,561,983605474,RLHFD26396Y000701
N003,RLHFD26328Y800727,FD,Civic,All car,7/29/2008 0:00,7/28/2011 0:00,7/30/2008 0:00,7/29/2011,7/28/2012,1550000,1409090.909,,,365,12,,,,1,913236428,RLHFD26328Y800727
S001,RLHFD16276Y000116,FD,Civic,All car,11/2/2006 0:00,11/1/2009 0:00,7/30/2008 0:00,11/2/2009,11/1/2010,1150000,1045454.545,,,364,12,,,,636,908952088,RLHFD16276Y000116
S001,RLHFD26318Y800668,FD,Civic,All car,7/28/2008 0:00,7/27/2011 0:00,7/30/2008 0:00,7/28/2011,7/27/2012,1550000,1409090.909,,,365,12,,,,2,918242477,RLHFD26318Y800668
N001,RLHFD26346Y000444,FD,Civic,All car,12/5/2006 0:00,12/4/2009 0:00,7/31/2008 0:00,12/5/2009,12/4/2010,1150000,1045454.545,,,364,12,,Engine,,604,982720229,RLHFD26346Y000444
N004,RLHFD26366Y000302,FD,Civic,All car,11/22/2006 0:00,11/21/2009 0:00,7/31/2008 0:00,11/22/2009,11/21/2010,1150000,1045454.545,,,364,12,,,,617,938852623,RLHFD26366Y000302
C002,RLHFD15218Y801693,FD,Civic,All car,8/20/2008 0:00,8/19/2011 0:00,8/20/2008 0:00,8/20/2011,8/19/2012,1750000,1590909.091,,,365,12,,,,0,912131718,RLHFD15218Y801693
S001,RLHFD15296Y000247,FD,Civic,All car,10/6/2006 0:00,10/5/2009 0:00,7/31/2008 0:00,10/6/2009,10/5/2010,1150000,1045454.545,,,364,12,,,,664,933179737,RLHFD15296Y000247
S002,RLHFD16266Y000253,FD,Civic,All car,10/18/2006 0:00,10/17/2009 0:00,7/31/2008 0:00,10/18/2009,10/17/2010,1150000,1045454.545,,,364,12,,,,652,913460495,RLHFD16266Y000253
